ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_0,2020,59.01,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_X,2020,129.07,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_TOTAL,2020,183.93,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_1,2020,253.82,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_2,2020,221.47,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_3,2020,85.33,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_4,2020,138.14,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_5,2020,73.5,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_6,2020,,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_7,2020,52.93,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_8,2020,,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_9,2020,52.04,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_0,2020,92.97,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_ISCO08_X,2020,,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_SKILL_TOTAL,2014,53.37,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_SKILL_L3-4,2014,87.6,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_SKILL_L2,2014,52.93,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_SKILL_L1,2014,37.83,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_SKILL_X,2014,66.51,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_SKILL_TOTAL,2014,53.68,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_SKILL_L3-4,2014,90.15,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_SKILL_L2,2014,55.37,,,T30:110,R1:3513
