ref_area,indicator,source,sex,time,obs_value,obs_status,note_indicator,note_source
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2010,29.72,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2010,25.84,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2010,33.71,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2009,30.73,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2009,25.13,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2009,35.76,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2008,28.17,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2008,25.39,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2008,30.84,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2007,33.77,B,I11:264,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2007,30.84,B,I11:264,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2007,36.74,B,I11:264,R1:3513
ALB,SDG_0861_SEX_RT,BB:7401,SEX_T,2005,35.19,,,R1:3513
ALB,SDG_0861_SEX_RT,BB:7401,SEX_M,2005,34.14,,,R1:3513
ALB,SDG_0861_SEX_RT,BB:7401,SEX_F,2005,36.24,,,R1:3513
ALB,SDG_0861_SEX_RT,BB:7401,SEX_T,2002,41.8,,,R1:3513
ALB,SDG_0861_SEX_RT,BB:7401,SEX_M,2002,44.49,,,R1:3513
ALB,SDG_0861_SEX_RT,BB:7401,SEX_F,2002,39.12,,,R1:3513
ANT,SDG_0861_SEX_RT,BA:748,SEX_T,2011,4.77,,,S3:21_S4:32_S5:40_T3:2479
ANT,SDG_0861_SEX_RT,BA:748,SEX_M,2011,4.58,,,S3:21_S4:32_S5:40_T3:2479
ANT,SDG_0861_SEX_RT,BA:748,SEX_F,2011,4.95,,,S3:21_S4:32_S5:40_T3:2479
ANT,SDG_0861_SEX_RT,BA:748,SEX_T,2009,4.35,,,S3:21_S4:32_S5:40_T3:2479
ANT,SDG_0861_SEX_RT,BA:748,SEX_M,2009,3.98,,,S3:21_S4:32_S5:40_T3:2479
ANT,SDG_0861_SEX_RT,BA:748,SEX_F,2009,4.71,,,S3:21_S4:32_S5:40_T3:2479
ARE,SDG_0861_SEX_RT,BA:716,SEX_T,2022,9.98,,,R1:3513
