ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0852_SEX_AGE_RT,BA:15715,SEX_F,AGE_YTHADULT_YGE25,2020,14.119,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE15,2017,11.184,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-24,2017,17.574,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE25,2017,8.318,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE15,2017,10.37,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_Y15-24,2017,16.285,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE25,2017,7.86,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE15,2017,14.027,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_Y15-24,2017,21.399,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE25,2017,10.049,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE15,2014,7.915,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-24,2014,9.963,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE25,2014,6.773,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE15,2014,7.196,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_Y15-24,2014,8.864,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE25,2014,6.362,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE15,2014,10.112,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_Y15-24,2014,12.554,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE25,2014,8.25,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE15,2012,1.692,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-24,2012,2.933,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE25,2012,1.152,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE15,2012,1.36,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_Y15-24,2012,2.552,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE25,2012,0.865,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE15,2012,3.333,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_Y15-24,2012,4.519,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE25,2012,2.695,,,T5:1429,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE15,2008,2.495,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-24,2008,4.049,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE25,2008,1.884,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE15,2008,2.653,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_Y15-24,2008,4.095,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE25,2008,2.064,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE15,2008,2.187,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_Y15-24,2008,3.952,B,,T5:1429_I11:264,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE25,2008,1.544,B,,T5:1429_I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE15,2021,15.799,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_Y15-24,2021,29.582,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE25,2021,11.015,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE15,2021,15.817,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_Y15-24,2021,31.898,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE25,2021,10.082,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE15,2021,15.781,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_Y15-24,2021,27.262,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE25,2021,11.901,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE15,2019,16.497,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_Y15-24,2019,31.198,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE25,2019,11.334,B,,I11:264,R1:3513
